"ASDR per 100 000 - Total deaths, ICD chapter 4 (Endocrine, nutritional and metabolic diseases), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Republic of Korea,,14.3,15.1,16.1,18,17.7,17.6,17.5,19.3,21.9,23.3,24.6,25.7,27.7,29.2,29,28.9,28.2,28.4,25.1,23.9,24.7,,,,,,,,,,,,,,,, 
Republic of Moldova,8.7,8.8,8.5,8.2,9.9,9.4,11.1,10.5,10.2,10.3,10,9.9,8.2,9.6,9,9.2,10.3,12.3,10.8,9,11.7,,,,,,,,,,,,,,,,, 
Reunion,,,26.7,26.2,26.7,30.1,36,35.1,36.9,36,39.5,40.6,41.6,45.1,47.7,42.7,,,,,,,,,,,,,,,,,,,,,, 
Rodrigues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Romania,7.3,6.8,6.3,6.2,6.5,6.3,7,6.7,6.4,6.8,6.4,6.6,6.9,6.9,6.1,5.9,6.2,6.6,,,,,,,,,,,,,,,,,,,, 
Russian Federation,,11.7,9.4,6.2,5.4,4.7,4.9,5.2,5.3,5.5,5.9,6,6.2,6.5,6.4,6.6,6.8,7.4,,,,,,,,,,,,,,,,,,,, 
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Saint Lucia,,,65.2,44.8,49.9,71.7,69.2,55.1,58.6,,62.2,64.1,97.5,95.5,82.2,100.3,70.2,56.9,73.2,71.5,78.9,,,,,,,,,,,,,,,,, 
Saint Pierre and Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Saint Vincent and Grenadines,,70.9,125.4,114,117.1,109.4,85.7,55.4,35.6,92.4,88.6,120.8,153.4,148.6,109.4,131.6,81.6,,,,,,,,,,,,,,,,,,,,, 
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Serbia,,19.9,16.8,19.1,20.2,21.6,22.2,21.5,22.2,21.5,18.6,19.2,19.1,20,19.8,18.3,20.1,20.6,18.4,,,,,,,,,,,,,,,,,,, 
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Singapore,,4.7,5.3,4.7,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Slovakia,,,11.5,11.1,12.9,,8.7,9.1,8.7,9,9.8,10.1,10.7,11,10.6,11.4,11.2,15.4,11.6,9.6,9.7,11.1,10.7,,,,,,,,,,,,,,, 
Slovenia,,8.4,7.8,8.6,8.4,7.7,7.2,7.2,7.9,7.6,10.9,14.5,17.5,20.9,18.6,18,17,13.9,16.3,25,,,,,,,,,,,,,,,,,, 
South Africa,,83.6,79.5,79.7,80.1,82.4,88.3,87.6,88.1,90,89.9,86.1,80.7,82.3,79.4,,,,,,,,,,,,,,,,,,,,,,, 
Spain,,10.5,10.1,9.7,10.4,10.8,11.1,11.3,11.6,11.8,11.5,12.7,12.7,13.2,13,13,13,14.1,,,,,,,,,,,,,,,,,,,, 
Sri Lanka,,,,,,,,,,,50,,,21.2,18.9,18.6,18.7,15.6,13.7,14.5,,,,,,,,,,,,,,,,,, 
Suriname,,,44.9,45.4,51.2,63.9,57.6,43.5,49.5,56,50.2,41.6,50.5,47.8,57.7,49.9,49.3,43.4,31.4,24.5,30.5,24,,,,,,,,,,,,,,,, 
Sweden,10.5,10.3,10,10.3,10.4,10,10.3,10.4,11.3,10.6,11.1,11.2,11,10.9,10.9,10.9,10.4,11.1,9.8,10.5,,,,,,,,,,,,,,,,,, 
Switzerland,,8.7,7.9,8.8,8.2,8.3,8.5,9.6,10.3,10.1,9.8,10.4,11.2,13.4,12,12.3,12.3,13,13.5,13.6,16.3,14.5,,,,,,,,,,,,,,,, 
Syrian Arab Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
TFYR Macedonia,,,,27.9,29.2,26.7,26,25.4,29.2,26.7,28,,,,,,,,,,,,,,,,,,,,,,,,,,, 
