"ASDR per 100 000 - Total deaths, ICD chapter 13 (Diseases of the musculoskeletal system), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Nicaragua,,2.1,2.1,2.5,2.5,2.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Norway,,2.5,2.2,2.1,2.1,2.4,2.3,2.2,2.4,2,2.2,2.4,2.5,2.6,3.1,2.8,2.9,3.1,3.3,3.3,3.5,2.9,2.7,2.8,3,3.1,2.8,3.3,3.2,2.8,3,,,,,,, 
Occupied Palestinian Territory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Oman,,,0.8,,,,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Panama,,1.8,1.7,1.7,1.5,1.1,2.5,2.1,2.6,2.6,1.9,2.1,2,1.7,2.2,1.6,2,1.4,1.4,1.6,1.9,,,,,,,3.8,3.1,2.9,4.1,5.4,5,4.8,4.2,5.3,4.9,5.4 
Paraguay,,,3.5,3.7,3.4,3,2.9,2.4,2.1,2.2,2.9,1.7,1.7,1.3,1.4,1.6,1.4,0.7,1.2,0.8,0.5,1.9,1.9,,,1.4,1.7,0.9,1,1,1.4,2,1.9,1.4,1.6,1.5,0.8,1.1 
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Philippines,,,,,,2.7,3.3,3.6,4,4.3,5.6,,,6.8,7.4,5.3,5.6,4.2,3.4,4,3.3,2.5,2.3,2.7,2.2,,,,,,,,,,,,, 
Poland,,0.8,0.9,1,0.9,0.9,0.8,0.9,0.9,0.9,0.9,1,1,1.2,1,1.1,1.2,1.2,,,1.9,2,1.9,2,2,2.1,2.1,2,2.1,2.1,2,2.2,2.3,2.5,2.6,2.5,2.6, 
Portugal,,,1.6,1.6,1.5,1.4,1.5,1.4,1.3,1.2,,,,1.7,1.5,1.4,1.2,1.2,1.1,1.2,1.5,1.5,1.2,1.6,1.1,1.2,1.6,1.1,1,1,1.3,1.4,1.2,1.5,1.6,1.9,1.8, 
Puerto Rico,,2.9,3,2.7,3.3,2.9,3.1,3.4,2.6,2.4,2.5,3,2.7,2.6,2.6,3,3.1,3.3,2.5,2.3,2.6,1.9,2.3,2.5,1.7,2.9,2.5,2.4,1.9,1.1,1,0.9,1,1.4,1.3,1.3,1.4,1.7 
Qatar,0.2,0.7,0,0,0.1,0,0.1,0.2,0,0.6,0.2,0,0,,,1.9,,,,,,0,,,,,,,,,,,,,,,, 
Republic of Korea,,1.9,2.1,2.3,2.6,2.8,3.1,3.2,3.1,3.7,3.4,3.2,3.4,4.9,6.2,5.4,5.7,7.2,7.1,5.5,6.2,6.6,8.5,7.5,5.2,3.4,3,2.6,2.2,2.4,2.8,3,,,,,, 
Republic of Moldova,0.8,0.7,0.8,0.6,0.7,0.8,0.9,0.6,0.8,0.9,0.7,1.1,1.1,1.3,1.5,1.2,1.6,1,1.4,0.9,1.1,1.6,1,1.6,1.2,1.2,1,0.9,1.2,1.3,1.3,1.4,,,1.8,1.4,, 
Reunion,,,2.6,2.3,3,2.6,2.7,2.9,2.9,2.2,2.4,2.7,3.2,2.7,2.4,1.8,,,,,,,,,,,,,,,,,,,,,, 
Rodrigues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Romania,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.6,0.8,0.8,0.6,0.7,0.9,0.7,0.8,0.7,0.7,0.7,0.6,0.6,0.7, 
Russian Federation,,1.5,1.1,0.9,0.9,0.9,1,1,1,1,1.1,1.1,1.1,1.2,1.2,1.3,1.4,1.3,1.1,1.2,1.3,1.4,1.3,1.4,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.2,1.3,1.3, 
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Saint Lucia,,,4.1,3.4,1.3,1.9,0.3,1.1,2.2,,6.5,2,2.5,3.9,0,3.6,1,0,3,2.5,1.4,1.4,7.9,1.6,3.5,3.9,3.7,0.7,4.4,1.1,2.8,,,4.4,,1.2,4.4,2.2 
Saint Pierre and Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Saint Vincent and Grenadines,,5.4,4.4,3.8,5,1,0.8,0,3.7,2.4,0.8,5.2,4.8,1.8,1.8,2.2,1.9,1.7,1.1,7,0,0,,,,,1.1,,,0,0.7,2.1,0,1,0,,, 
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,,4.3,1.6,,,,, 
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Serbia,,1.1,1,1.3,1.3,1.3,1.3,1.3,1.3,1.1,1.4,1.2,1.2,1.6,1.4,1.1,0.9,1.1,1.2,,,,,,,,,,,,,,,,,,, 
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,, 
