"ASDR per 100 000 - Total deaths, ICD chapter 12 (Diseases of the skin and subcutaneous tissue), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Qatar,0.3,2.9,0.9,2,0.8,2.6,3.5,7.8,3.3,1.1,2.8,7.9,5.8,,,0.5,,,,,,0,,,,,,,,,,,,,,,, 
Republic of Korea,,0.6,0.6,0.6,0.7,0.7,0.8,0.7,0.8,0.8,1,0.9,0.9,1,1.1,1.2,1,1,0.9,0.6,0.5,0.6,0.8,0.7,0.5,0.4,0.2,0.2,0.1,0.1,0.1,0.1,,,,,, 
Republic of Moldova,0.8,0.6,0.7,0.7,0.5,0.8,0.6,0.7,0.7,0.7,0.7,0.9,0.9,0.5,0.6,1,1.1,0.8,0.9,0.9,0.6,1.3,1.3,1,0.8,0.7,0.5,0.8,0.6,0.7,0.4,0.8,,,1.3,1.4,, 
Reunion,,,0.6,0.4,0.6,1,1,1.6,1.2,1.2,2,1.3,2,1.5,1.2,2,,,,,,,,,,,,,,,,,,,,,, 
Rodrigues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Romania,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.2,0.3,0.4,0.3,0.4,0.6,0.5,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.5,0.6,0.6,0.5,0.6,0.5, 
Russian Federation,,1.2,1.1,1,1,1,1,0.9,1,1,1,1.1,1,0.9,0.9,1,0.9,0.9,0.8,0.9,1,1,1,0.9,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.7,0.8,0.7, 
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Saint Lucia,,,7.5,3.6,11.3,3.1,5.7,2.2,1,,6.3,5.5,3.2,2.4,0,3.3,4.3,0,6,7.4,5.7,2.2,8.7,2.2,5,1,10.7,6.1,5.7,3.4,4.9,,,13.8,,1.1,6.4,6.5 
Saint Pierre and Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
