"ASDR per 100 000 - Total deaths, ICD chapter 15 (Pregnancy, childbirth and the puerperium), female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Qatar,0,0.3,0.2,0,0.1,0.2,0.3,0.7,0.5,1,0.2,0.9,0.3,,,0.3,,,,,,0,,,,,,,,,,,,,,,, 
Republic of Korea,,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.2,0.3,0.3,0.4,0.5,,,,,, 
Republic of Moldova,0.4,0.6,0.4,0.3,0.6,0.3,0.9,0.4,0.9,0.4,0.3,0.4,0.4,0.4,0.6,0.9,0.5,0.6,0.8,1.3,1.1,1,0.8,1.7,1.9,1.8,1.6,1.3,1.5,1.7,1.4,2.1,,,1.8,2.9,, 
Reunion,,,0.5,0.5,0.5,1.2,0.3,0.2,0.5,0.9,1.2,0.8,0.8,0.6,0.7,0,,,,,,,,,,,,,,,,,,,,,, 
Rodrigues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Romania,0.2,0.3,0.3,0.3,0.3,0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.5,0.6,0.4,0.7,0.7,0.9,0.9,0.9,0.9,1,1.4,1.2,1.5,1.7,2.5,5.9,5.6,5.6,5.5,4.8,5.1,5.4,5.9,5.2,5.2, 
Russian Federation,,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.9,1,1.1,1,1.1,1.3,1.3,1.5,1.6,1.7,1.9,1.8,1.8,1.9,2.1,2.1,2.2, 
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Saint Lucia,,,2.2,1.1,1.1,1,3.4,0,1.1,,1.2,2.2,4.5,4.8,1.1,0,4.4,1.3,0,0,1.5,0,0,1.4,0,3.3,3.8,1.7,0,1.1,1.2,,,1.2,,1.5,3.9,8.8 
Saint Pierre and Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Saint Vincent and Grenadines,,0,1.7,3.6,0,2,3.7,0,3.8,0,0,0,1.8,0,0,0,2,1.6,0,1.8,3.2,7.8,,,,,0,,,5.4,0,6.7,0,0,0,,, 
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,14.9,11.7,,,,, 
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Serbia,,0.3,0.3,0.3,0.3,0.2,0.4,0.2,0.1,0,0.3,0.3,0.1,0.2,0,0.2,0.2,0.2,0.3,,,,,,,,,,,,,,,,,,, 
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,0,2.2,,,,,, 
