"ASDR per 100 000 - Total deaths, ICD chapter 3 (Diseases of blood and immune mechanism), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Serbia,,1.5,1.7,1.6,1.4,1.5,1.4,1,1.2,1.5,1.5,1.2,1.1,1,0.9,0.9,0.9,0.8,0.8,,,,,,,,,,,,,,,,,,, 
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Singapore,,0.1,0.4,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Slovakia,,,0.7,0.7,0.7,,0.5,0.8,0.9,1,0.9,0.8,0.9,0.9,1.1,1,0.8,0.5,0.5,0.6,0.7,1.1,1,,,,,,,,,,,,,,, 
Slovenia,,0.5,0.4,0.5,0.8,1.1,1,0.9,0.9,1.2,0.6,1,0.6,1.1,1.1,0.7,1.3,1.4,1.4,1,,,,,,,,,,,,,,,,,, 
South Africa,,26,19.9,21.6,30.1,31.4,30.4,36.6,42.5,41.8,42.8,43.8,43.5,42.1,36.9,,,,,,,,,,,,,,,,,,,,,,, 
Spain,,1.6,1.5,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.4,1.5,1.5,1.5,1.4,1.6,1.5,,,,,,,,,,,,,,,,,,,, 
Sri Lanka,,,,,,,,,,,1.8,,,2.6,2.7,2.4,2.9,2.7,2.4,3.3,,,,,,,,,,,,,,,,,, 
Suriname,,,2,1.5,2.7,2.3,2.9,3.3,4.6,4.5,4.4,5.8,4.2,5,4.1,4.9,2.8,6.5,5,3.2,3.1,3,,,,,,,,,,,,,,,, 
Sweden,1.3,1.2,1,1.1,1.2,1.2,1.2,1.2,1.2,1.3,1,1.3,1,1.2,1.2,1.1,1.3,1.2,1,1,,,,,,,,,,,,,,,,,, 
Switzerland,,1,0.8,0.9,0.9,1.1,0.9,0.9,1,0.8,1.1,1.2,1.1,1.1,1.1,1.2,1.1,1,1.3,1.1,1.2,1.1,,,,,,,,,,,,,,,, 
Syrian Arab Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
TFYR Macedonia,,,,0.5,0.4,0.5,0.6,0.5,0.6,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Thailand,1.4,1.2,1,1.1,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.9,1.4,5,,13.2,14.4,11.8,13,11.7,6.5,2.9,,,,,,,,,,,,,,, 
Trinidad and Tobago,,,,,,5.4,6.3,5.4,5.7,5.3,7.3,6.8,6.6,6,6.7,7.5,7.1,8.3,,,,,,,,,,,,,,,,,,,, 
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Turkey,,1.6,1.8,2,1.9,2,2,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Turkmenistan,,0.7,1.1,1.2,1.2,1.5,1.3,1.9,3.4,1.2,1.2,1.5,1.4,2.1,2.5,1.4,1.3,2.3,,,,,,,,,,,,,,,,,,,, 
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Ukraine,,0.5,0.5,,0.6,0.6,0.5,0.6,0.6,0.8,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,, 
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
United Kingdom,,1,0.9,0.9,0.9,0.9,1,1,1,1.1,1,1.1,1.1,1.1,1.2,1.1,0.1,,,,,,,,,,,,,,,,,,,,, 
United States of America,2,2,2.1,2,2.1,2,2,2,2.1,2.1,2,2.1,2.1,2.2,2.3,2.3,2.3,2.3,,,,,,,,,,,,,,,,,,,, 
Uruguay,,2.7,2.7,2.7,2.4,,2.8,2.4,2.3,2.2,2.9,3.3,3.2,3.2,2.9,3,3.2,3.3,2.5,3.2,,,,,,,,,,,,,,,,,, 
Uzbekistan,,,1.3,1.1,0.9,0.9,1.1,0.9,,,,1.4,1.4,,,,,,,,,,,,,,,,,,,,,,,,, 
Venezuela (Bolivarian Republic of),,,,1.8,1.5,1.5,1.5,1.5,1.6,1.6,1.4,1.5,1.6,1.7,1.5,1.8,2,2.2,2.5,2.5,3.2,,,,,,,,,,,,,,,,, 
Virgin Islands (USA),,0,,,2.4,4.9,2.5,2.1,2.4,1.8,2.4,6.2,5.6,2.7,2.5,4,3.3,2.5,,,,,,,,,,,,,,,,,,,, 
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Total reporting countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
