"ASDR per 100 000 - Total deaths, ICD chapter 9 (Diseases of the circulatory system), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Mongolia,312.4,,,,,,,,,,,,,,,,,,,,,,414.2,,,,,,,,,,,,,,, 
Montenegro,,,,,,,,348.4,344.7,387.3,401.1,379.3,372.7,368.3,353.8,376.1,384,,,,,,,,,,,,,,,,,,,,, 
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Netherlands,89.9,94.1,95.2,97.3,100.1,102.3,107.9,110.9,117.5,123.6,129.5,138.7,146.2,157.2,163.4,164.8,174.1,178.4,182.8,185.5,194.5,200.4,202.2,215.5,208.3,213.7,216.7,221.2,224.9,227.8,244.1,254.1,254.6,256.2,262.6,266.4,268.3,276.4 
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
New Zealand,,,,111.6,117.8,123.3,123.8,130.4,135.1,140.9,149.3,150.4,166.5,167.2,177.5,183.2,182,200.1,193.5,209.7,222.4,227.7,231.7,245.5,254.9,251.3,263,274.2,291.8,306.8,311.2,321,315.3,331.9,337.9,347,380.6,374.1 
Nicaragua,,141.5,149.2,141,136.1,136.1,138.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Norway,,90.8,92.7,97.5,106.4,106.9,110.9,115,122.2,128.5,131.4,134,147.9,157.2,170.4,175,181,194.9,199.6,203.3,207.8,218.5,217.9,234.9,237.7,242.8,256.5,255.8,261.5,272.4,271.7,,,,,,, 
Occupied Palestinian Territory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Oman,,,114,,,,114.8,123.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Panama,,126,128.6,131.4,128.4,136.1,138.2,142.3,134.5,141,135.3,151,139.8,139.5,136.4,143.1,137.9,146.7,147.9,164.8,153.5,,,,,,,129.5,136.7,213.1,216.4,209.9,223.9,212,197.8,217.3,205.8,223.9 
Paraguay,,,138,154.6,152.1,162.3,173.3,170.6,154.5,153.3,164.1,150.4,151.8,127.3,129.3,142.5,151.8,160.2,166.6,148.9,223.1,234.8,224.7,,,196,217.3,204.6,195,177.4,180.3,188.2,186.4,191.4,161.8,168.5,195.8,204.5 
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Philippines,,,,,,346.9,356,358.4,342.9,340.8,340.5,,,325.2,338.7,338.1,332.4,312.4,306.1,321.1,296.8,272.3,256.4,311.9,311.7,,,,,,,,,,,,, 
Poland,,223.8,216.4,233.3,240.1,236,249.4,264.7,265.4,271.6,276.3,285.1,294.7,308.5,307.3,322.9,332.6,349.9,,,392.6,398.8,410.8,428.9,439.4,458.7,443.4,442,435.9,454.1,449,458.6,434.4,417.2,407.2,400.9,436.4, 
